1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,total_request
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
1,1,1,0,0,0,0,1,0,0,2,1,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,2,0,0,0,20
0,0,3,1,1,1,0,0,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,21
0,1,0,0,1,1,0,0,0,0,1,1,0,4,0,0,0,1,2,0,1,0,2,0,0,0,0,0,0,1,1,2,0,2,2,2,2,1,0,0,0,0,0,2,1,1,0,0,1,1,34
0,1,0,1,1,1,1,0,0,0,2,1,0,2,0,0,1,1,2,0,3,3,1,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1,2,1,0,0,0,0,0,1,0,33
0,2,1,0,0,0,0,1,3,3,0,0,2,3,0,1,1,0,1,0,0,0,1,1,1,0,0,1,2,1,1,3,0,1,0,2,4,1,1,1,2,0,1,2,0,1,0,2,1,0,48
0,1,2,0,1,1,1,1,0,1,2,1,1,1,1,0,0,0,0,2,0,2,2,1,2,1,3,3,1,1,0,1,0,3,0,3,1,0,1,0,2,0,1,1,1,2,0,0,2,1,51
1,1,1,1,0,2,0,2,1,0,2,5,1,2,4,2,3,1,1,2,3,0,1,0,1,1,1,2,0,3,1,1,2,2,2,1,1,6,1,2,1,2,1,4,0,0,2,1,2,1,77
0,2,4,2,2,2,0,4,0,0,0,3,2,0,1,4,3,3,0,2,3,3,1,3,1,1,3,1,2,2,5,3,2,1,1,1,1,1,1,3,3,1,1,4,1,2,1,1,1,1,89
0,2,4,2,3,2,1,1,2,4,1,0,1,2,2,3,3,0,2,3,0,1,3,4,1,0,1,0,3,1,0,1,1,4,3,0,1,3,2,6,2,2,2,3,2,2,0,3,3,2,94
0,1,3,2,1,1,3,0,0,6,1,1,3,4,0,4,4,4,1,6,1,3,0,1,2,5,4,3,5,2,1,0,3,1,3,0,1,2,1,4,1,2,1,1,1,3,4,2,3,4,109
2,6,3,2,2,2,5,2,2,1,2,1,2,4,5,2,1,1,2,6,1,3,3,2,2,1,1,1,0,5,3,7,0,2,0,3,4,3,1,1,2,6,2,4,3,2,4,6,1,1,127
2,0,3,1,3,4,5,3,2,4,3,4,4,3,3,2,5,2,4,2,4,5,6,2,3,3,5,6,0,4,2,7,4,0,3,2,2,3,6,8,1,2,3,3,3,1,3,1,5,3,159
4,1,4,4,4,6,7,2,2,6,0,4,3,2,3,5,3,3,3,5,4,3,6,1,4,3,2,2,1,4,3,1,2,3,5,3,3,6,4,3,3,1,4,1,2,0,3,3,6,4,161
3,5,2,2,7,4,5,3,0,3,5,3,4,6,3,3,3,2,2,1,2,6,2,7,3,4,2,2,5,9,3,3,1,1,3,6,4,3,2,1,4,4,0,3,1,4,2,2,5,3,163
7,5,6,6,2,5,5,1,4,3,6,6,1,2,7,2,5,4,5,6,5,5,8,3,4,4,4,2,3,3,3,2,6,2,5,3,6,1,1,4,1,5,1,6,6,3,2,4,4,2,196
3,4,2,3,6,6,4,1,3,3,3,6,2,2,4,1,6,4,2,8,8,1,5,10,1,4,6,3,7,5,8,3,4,5,6,1,0,4,6,3,5,4,5,5,0,3,6,1,7,4,203
