initate MTCD,emtpyPre,collidePre,successPre,grant fail,collide probility
0,54,0,0,0,0
0,54,0,0,0,0
0,54,0,0,0,0
0,54,0,0,0,0
0,54,0,0,0,0
0,54,0,0,0,0
0,54,0,0,0,0
0,54,0,0,0,0
2,52,0,2,0,0
0,54,0,0,0,0
0,54,0,0,0,0
0,54,0,0,0,0
0,54,0,0,0,0
0,54,0,0,0,0
0,54,0,0,0,0
0,54,0,0,0,0
0,54,0,0,0,0
0,54,0,0,0,0
0,54,0,0,0,0
0,54,0,0,0,0
0,54,0,0,0,0
0,54,0,0,0,0
0,54,0,0,0,0
0,54,0,0,0,0
8,46,0,8,0,0
0,54,0,0,0,0
0,54,0,0,0,0
0,54,0,0,0,0
0,54,0,0,0,0
0,54,0,0,0,0
0,54,0,0,0,0
0,54,0,0,0,0
21,33,0,21,0,0
1,53,0,1,0,0
0,54,0,0,0,0
0,54,0,0,0,0
0,54,0,0,0,0
0,54,0,0,0,0
0,54,0,0,0,0
0,54,0,0,0,0
33,21,0,30,3,0
12,42,0,12,0,0
6,48,0,6,0,0
0,54,0,0,0,0
0,54,0,0,0,0
0,54,0,0,0,0
0,54,0,0,0,0
0,54,0,0,0,0
43,11,0,30,13,0
22,32,0,22,0,0
3,51,0,3,0,0
0,54,0,0,0,0
0,54,0,0,0,0
0,54,0,0,0,0
0,54,0,0,0,0
0,54,0,0,0,0
47,7,0,30,17,0
39,15,0,30,9,0
17,37,0,17,0,0
11,43,0,11,0,0
1,53,0,1,0,0
0,54,0,0,0,0
0,54,0,0,0,0
0,54,0,0,0,0
48,6,0,30,18,0
39,15,0,30,9,0
25,29,0,25,0,0
11,43,0,11,0,0
9,45,0,9,0,0
4,50,0,4,0,0
0,54,0,0,0,0
0,54,0,0,0,0
48,6,0,30,18,0
48,6,0,30,18,0
35,19,0,30,5,0
17,37,0,17,0,0
12,42,0,12,0,0
9,45,0,9,0,0
3,51,0,3,0,0
2,52,0,2,0,0
48,6,0,30,18,0
48,6,0,30,18,0
43,11,0,30,13,0
34,20,0,30,4,0
20,34,0,20,0,0
12,42,0,12,0,0
10,44,0,10,0,0
5,49,0,5,0,0
48,6,0,30,18,0
48,6,0,30,18,0
48,6,0,30,18,0
48,6,0,30,18,0
35,19,0,30,5,0
22,32,0,22,0,0
17,37,0,17,0,0
15,39,0,15,0,0
48,6,0,30,18,0
48,6,0,30,18,0
48,6,0,30,18,0
45,9,0,30,15,0
43,11,0,30,13,0
37,17,0,30,7,0
29,25,0,29,0,0
17,37,0,17,0,0
48,6,0,30,18,0
48,6,0,30,18,0
48,6,0,30,18,0
48,6,0,30,18,0
48,6,0,30,18,0
44,10,0,30,14,0
36,18,0,30,6,0
22,32,0,22,0,0
48,6,0,30,18,0
48,6,0,30,18,0
48,6,0,30,18,0
48,6,0,30,18,0
48,6,0,30,18,0
46,8,0,30,16,0
38,16,0,30,8,0
26,28,0,26,0,0
48,6,0,30,18,0
48,6,0,30,18,0
48,6,0,30,18,0
48,6,0,30,18,0
