initate MTCD,emtpyPre,collidePre,successPre,grant fail,collide probility,PACB
0,54,0,0,0,0,0.125
0,54,0,0,0,0,0.125
0,54,0,0,0,0,0.125
0,54,0,0,0,0,0.125
0,54,0,0,0,0,0.125
0,54,0,0,0,0,0.125
0,54,0,0,0,0,0.125
0,54,0,0,0,0,0.125
1,53,0,1,0,0,0.125
0,54,0,0,0,0,0.125
0,54,0,0,0,0,0.125
0,54,0,0,0,0,0.125
0,54,0,0,0,0,0.125
0,54,0,0,0,0,0.125
0,54,0,0,0,0,0.125
0,54,0,0,0,0,0.125
0,54,0,0,0,0,0.125
0,54,0,0,0,0,0.125
0,54,0,0,0,0,0.125
0,54,0,0,0,0,0.125
0,54,0,0,0,0,0.125
0,54,0,0,0,0,0.125
0,54,0,0,0,0,0.125
0,54,0,0,0,0,0.125
0,54,0,0,0,0,0.125
0,54,0,0,0,0,0.125
0,54,0,0,0,0,0.125
0,54,0,0,0,0,0.125
0,54,0,0,0,0,0.125
0,54,0,0,0,0,0.125
0,54,0,0,0,0,0.125
2,52,0,2,0,0,0.125
4,50,0,4,0,0,0.125
0,54,0,0,0,0,0.125
0,54,0,0,0,0,0.125
0,54,0,0,0,0,0.125
0,54,0,0,0,0,0.125
0,54,0,0,0,0,0.125
1,53,0,1,0,0,0.125
6,48,0,6,0,0,0.125
10,44,0,10,0,0,0.125
3,51,0,3,0,0,0.125
0,54,0,0,0,0,0.125
0,54,0,0,0,0,0.125
1,53,0,1,0,0,0.125
1,53,0,1,0,0,0.125
3,51,0,3,0,0,0.125
11,43,0,11,0,0,0.125
12,42,0,12,0,0,0.125
5,49,0,5,0,0,0.125
0,54,0,0,0,0,0.125
0,54,0,0,0,0,0.125
0,54,0,0,0,0,0.125
0,54,0,0,0,0,0.125
6,48,0,6,0,0,0.125
12,42,0,12,0,0,0.125
15,39,0,15,0,0,0.125
10,44,0,10,0,0,0.125
5,49,0,5,0,0,0.125
1,53,0,1,0,0,0.125
1,53,0,1,0,0,0.125
2,52,0,2,0,0,0.125
8,46,0,8,0,0,0.125
16,38,0,16,0,0,0.125
17,37,0,17,0,0,0.125
10,44,0,10,0,0,0.125
5,49,0,5,0,0,0.125
3,51,0,3,0,0,0.125
2,52,0,2,0,0,0.125
1,53,0,1,0,0,0.125
6,48,0,6,0,0,0.125
15,39,0,15,0,0,0.125
17,37,0,17,0,0,0.125
10,44,0,10,0,0,0.125
6,48,0,6,0,0,0.125
2,52,0,2,0,0,0.125
3,51,0,3,0,0,0.125
5,49,0,5,0,0,0.125
12,42,0,12,0,0,0.125
22,32,0,22,0,0,0.125
23,31,0,23,0,0,0.125
10,44,0,10,0,0,0.125
5,49,0,5,0,0,0.125
3,51,0,3,0,0,0.125
2,52,0,2,0,0,0.125
9,45,0,9,0,0,0.125
16,38,0,16,0,0,0.125
21,33,0,21,0,0,0.125
22,32,0,22,0,0,0.125
